ID,CAR_ID,EPA_RATING_in_CITY,Vehicle_Count,TOTAL_ACTUAL_MILES,TOTAL_ACTUAL_FUEL,EPA_EXPECTED_FUEL,ACTUAL_FUEL_ECONOMY_Geotab,PERCENT_DIFFERENCE_ACTUAL_TO_EPA,ESTIMATED_FUEL_COSTS_PER_GALLON,FUEL_COSTS_PER_MILE
2000077,1000077,17,70,352592,37794,20740.71,9.33,-0.45,"$94,485.00 ",$0.27 
2000078,1000074,20,20,32180,1689,1609,19.05,-0.05,"$4,222.50 ",$0.13 
2000079,1000080,28,31,134807,5214,4814.54,25.85,-0.08,"$13,035.00 ",$0.10 
2000080,1000081,55,243,1224245,22430,22259,54.58,-0.01,"$56,075.00 ",$0.05 
2000081,1000082,34,89,480559,12880,14134.09,37.31,0.1,"$32,200.00 ",$0.07 
2000082,1000078,20,23,242804,12230,12140.2,19.85,-0.01,"$30,575.00 ",$0.13 
2000083,1000085,15,15,9113,1061,607.53,8.59,-0.43,"$2,652.50 ",$0.29 
2000084,1000087,19,21,169156,16900,8902.95,10.01,-0.47,"$42,250.00 ",$0.25 
2000085,1000083,13,48,206772,25457,15905.54,8.12,-0.38,"$63,642.50 ",$0.31 
2000086,1000088,16,29,212823,21171,13301.44,10.05,-0.37,"$52,927.50 ",$0.25 
2000087,1000089,12,9,149618,22596,12468.17,6.62,-0.45,"$56,490.00 ",$0.38 
2000088,1000086,25,13,34018,786,1360.72,43.28,0.73,"$1,965.00 ",$0.06 
2000089,1000093,34,115,545830,16192,16053.82,33.71,-0.01,"$40,480.00 ",$0.07 
2000090,1000084,26,9,197267,20113,7587.19,9.81,-0.62,"$50,282.50 ",$0.25 
2000091,1000090,17,7,193575,12339,11386.76,15.69,-0.08,"$30,847.50 ",$0.16 
2000092,1000091,15,32,164551,13315,10970.07,12.36,-0.18,"$33,287.50 ",$0.20 
2000093,1000092,20,189,112590,9827,5629.5,11.46,-0.43,"$24,567.50 ",$0.22 
2000094,1000094,13,56,177198,17233,13630.62,10.28,-0.21,"$43,082.50 ",$0.24 
2000095,1000097,16,19,121436,8983,7589.75,13.52,-0.16,"$22,457.50 ",$0.18 
2000096,1000098,43,5,11207,289,260.63,38.78,-0.1,$722.50 ,$0.06 
2000097,1000101,34,82,474394,10956,13952.76,43.3,0.27,"$27,390.00 ",$0.06 
2000098,1000095,16,10,131922,7877,8245.13,16.75,0.05,"$19,692.50 ",$0.15 
2000099,1000096,16,10,205588,14697,12849.25,13.99,-0.13,"$36,742.50 ",$0.18 
2000100,1000099,17,7,144627,7453,8507.47,19.41,0.14,"$18,632.50 ",$0.13 
2000101,1000100,14,16,119367,9212,8526.21,12.96,-0.07,"$23,030.00 ",$0.19 
2000102,1000102,13,22,10316,885,793.54,11.66,-0.1,"$2,212.50 ",$0.21 
2000103,1000103,16,27,56410,5419,3525.63,10.41,-0.35,"$13,547.50 ",$0.24 
2000104,1000104,12,30,84521,5449,7043.42,15.51,0.29,"$13,622.50 ",$0.16 
2000105,1000106,15,38,3277,296,218.47,11.07,-0.26,$740.00 ,$0.23 
2000106,1000105,20,7,29068,2331,1453.4,12.47,-0.38,"$5,827.50 ",$0.20 
